Gene	Rho	P_val
ETS1	-2.763e-01	5.945e-04
ETS2	-6.467e-02	4.301e-01
ETV1	1.231e-01	1.322e-01
ETV4	5.117e-02	5.326e-01
ETV5	1.040e-01	2.037e-01
ETV6	8.330e-02	3.092e-01
EWSR1	6.500e-02	4.278e-01
EXT2	-1.316e-01	1.072e-01
EZH2	2.303e-01	4.437e-03
FAM46C	-1.556e-02	8.496e-01
FANCA	-1.295e-01	1.129e-01
FANCB	1.669e-01	4.048e-02
FANCC	-5.798e-02	4.795e-01
FANCD2	-2.403e-01	2.957e-03
FANCE	1.387e-02	8.657e-01
FANCF	2.471e-02	7.633e-01
FANCG	-7.764e-02	3.434e-01
FANCI	-7.226e-02	3.779e-01
FANCL	1.845e-01	2.336e-02
FANCM	1.852e-01	2.282e-02
FAS	5.014e-02	5.409e-01
FAT1	6.678e-02	4.153e-01
FBXO11	-1.951e-01	1.639e-02
FBXW7	-1.039e-01	2.044e-01
FCGR2A	-1.140e-01	1.635e-01
FCGR3A	-7.916e-02	3.340e-01
FDPS	4.445e-02	5.879e-01
FGF1	1.963e-01	1.572e-02
FGF10	2.379e-01	3.263e-03
FGF14	2.069e-01	1.080e-02
FGF19	-3.186e-01	6.705e-05
FGF2	5.909e-02	4.711e-01
FGF23	4.271e-02	6.026e-01
FGF3	-3.329e-01	2.952e-05
FGF4	-3.795e-01	1.544e-06
FGF5	1.633e-02	8.422e-01
FGF6	-1.302e-01	1.111e-01
FGF7	4.201e-02	6.086e-01
FGF8	7.244e-02	3.768e-01
FGF9	7.183e-02	3.808e-01
FGFR1	-1.717e-02	8.342e-01
FGFR2	9.639e-02	2.390e-01
FGFR3	-3.069e-02	7.084e-01
FGFR4	-2.386e-02	7.712e-01
FH	7.039e-02	3.904e-01
FHIT	5.938e-02	4.689e-01
FLCN	1.026e-01	2.099e-01
FLG	-5.020e-03	9.512e-01
FLT1	3.757e-02	6.470e-01
FLT3	8.030e-03	9.220e-01
FLT4	2.792e-02	7.336e-01
FNTB	-3.207e-01	5.959e-05
FOXA1	-1.826e-01	2.480e-02
FOXL2	-6.234e-03	9.394e-01
FOXO1	-3.914e-02	6.332e-01
FOXO3	-1.907e-01	1.900e-02
FOXP1	-6.395e-02	4.353e-01
FOXQ1	-3.483e-02	6.712e-01
FRS2	1.538e-01	5.938e-02
FUBP1	1.003e-01	2.203e-01
FUS	-1.909e-03	9.814e-01
FYN	8.174e-02	3.184e-01
G6PD	1.488e-01	6.814e-02
GABRA6	-1.906e-01	1.904e-02
GALNT12	-7.784e-02	3.421e-01
GATA1	2.507e-01	1.907e-03
GATA2	-8.932e-02	2.754e-01
GATA3	-8.368e-03	9.188e-01
GATA4	-3.838e-02	6.399e-01
GATA6	4.618e-02	5.734e-01
GEN1	-3.910e-02	6.336e-01
GID4	-1.340e-01	1.010e-01
GLI1	-3.343e-02	6.836e-01
GLI2	7.338e-02	3.705e-01
GLI3	-2.820e-02	7.311e-01
GNA11	-4.028e-02	6.234e-01
GNA13	1.441e-01	7.744e-02
GNAQ	1.830e-02	8.236e-01
GNAS	-3.130e-01	9.138e-05
GPC3	3.497e-02	6.699e-01
GPER1	2.594e-01	1.301e-03
GPS2	9.574e-02	2.422e-01
GREM1	-2.392e-02	7.706e-01
GRIN2A	-1.557e-01	5.626e-02
GRM3	-1.824e-01	2.496e-02
GSK3B	-2.365e-02	7.731e-01
GSTP1	3.565e-01	7.013e-06
H3F3A	5.444e-02	5.068e-01
H3F3C	-1.677e-01	3.961e-02
HAS3	1.644e-02	8.412e-01
HAVCR2	1.147e-02	8.888e-01
HDAC1	-1.654e-02	8.403e-01
HDAC2	1.176e-01	1.504e-01
HDAC3	1.435e-01	7.879e-02
HDAC4	-1.396e-01	8.741e-02
HDAC5	-5.589e-02	4.955e-01
HGF	-1.613e-01	4.784e-02
HIF1A	1.124e-01	1.694e-01
HIST1H1C	-2.011e-01	1.329e-02
HIST1H1E	1.248e-01	1.268e-01
HIST1H2BD	-5.316e-03	9.483e-01
HIST1H3F	nan	nan
HIST1H4E	-7.853e-02	3.379e-01
HIST3H3	3.184e-02	6.979e-01
HLA-A	7.139e-02	3.837e-01
HLA-B	-1.791e-02	8.272e-01
HLA-C	3.168e-02	6.993e-01
HLA-DMA	4.157e-02	6.123e-01
HLA-DMB	1.315e-02	8.727e-01
HLA-DOA	-7.728e-02	3.456e-01
HLA-DOB	-8.750e-02	2.854e-01
HLA-DPA1	7.208e-02	3.791e-01
HLA-DPB1	9.178e-02	2.624e-01
HLA-DQA1	1.861e-02	8.206e-01
HLA-DQA2	8.628e-02	2.922e-01
HLA-DQB1	-5.485e-02	5.035e-01
HLA-DQB2	-2.053e-01	1.145e-02
HLA-DRA	-7.938e-02	3.326e-01
HLA-DRB1	-6.316e-02	4.410e-01
HLA-DRB5	-1.966e-01	1.555e-02
HLA-E	7.561e-02	3.561e-01
HLA-F	8.053e-02	3.257e-01
HLA-G	6.958e-02	3.959e-01
HNF1A	1.601e-01	4.963e-02
HNF1B	7.012e-02	3.922e-01
HOXB13	-1.329e-02	8.713e-01
HRAS	-1.239e-01	1.295e-01
HSD3B1	1.073e-01	1.895e-01
HSP90AA1	7.195e-02	3.800e-01
HSPH1	-3.324e-02	6.854e-01
IDH1	4.064e-02	6.203e-01
IDH2	-3.668e-02	6.547e-01
IDO1	-1.455e-01	7.463e-02
IFIT1	-8.057e-02	3.254e-01
IFIT2	6.750e-02	4.102e-01
IFIT3	-1.143e-01	1.622e-01
IFNAR1	7.789e-02	3.418e-01
IFNAR2	1.121e-01	1.704e-01
IFNGR1	-6.015e-02	4.631e-01
IFNGR2	3.097e-02	7.058e-01
IFNL3	1.562e-01	5.553e-02
IGF1	4.194e-02	6.091e-01
IGF1R	-3.875e-01	8.876e-07
IGF2	-4.028e-02	6.234e-01
IKBKE	1.945e-02	8.126e-01
IKZF1	2.265e-01	5.171e-03
IKZF3	5.776e-02	4.811e-01
IL10RA	-1.560e-01	5.577e-02
IL15	-1.079e-01	1.872e-01
IL2RA	5.626e-02	4.926e-01
IL6R	-4.694e-02	5.671e-01
IL7R	-2.478e-01	2.161e-03
ING1	-2.554e-01	1.549e-03
INHBA	7.853e-02	3.379e-01
INPP4A	-2.105e-01	9.478e-03
INPP4B	1.481e-01	6.947e-02
INPPL1	-2.785e-01	5.350e-04
INSR	1.397e-01	8.702e-02
IRF1	-5.415e-02	5.090e-01
IRF2	-1.261e-01	1.228e-01
IRF4	1.015e-01	2.149e-01
IRS1	1.057e-01	1.965e-01
IRS2	-1.971e-01	1.529e-02
ITPKB	4.423e-02	5.897e-01
JAK1	-1.017e-01	2.140e-01
JAK2	1.218e-01	1.362e-01
JAK3	9.211e-02	2.607e-01
JUN	3.263e-02	6.909e-01
KAT6A	-3.464e-02	6.729e-01
KDM5A	-2.733e-01	6.869e-04
KDM5C	-3.137e-01	8.757e-05
KDM6A	-2.477e-01	2.165e-03
KDM6B	8.843e-02	2.803e-01
KDR	-1.308e-02	8.734e-01
KEAP1	1.731e-01	3.356e-02
KEL	-9.283e-02	2.569e-01
KIF1B	1.295e-01	1.129e-01
KIT	-9.408e-02	2.505e-01
KLF4	6.318e-02	4.409e-01
KLHL6	1.772e-02	8.291e-01
KLLN	-3.294e-02	6.880e-01
KMT2A	4.895e-02	5.506e-01
KMT2B	8.648e-02	2.910e-01
KMT2C	-1.012e-01	2.161e-01
KMT2D	1.477e-01	7.031e-02
KRAS	-2.153e-01	7.919e-03
LAG3	-1.023e-01	2.111e-01
LATS1	-7.082e-02	3.875e-01
LATS2	-1.366e-01	9.442e-02
LDLR	8.313e-02	3.102e-01
LEF1	-4.076e-02	6.193e-01
LMNA	-1.728e-01	3.388e-02
LMO1	1.143e-01	1.622e-01
LRP1B	3.732e-02	6.491e-01
LYN	-5.807e-02	4.788e-01
LZTR1	-1.060e-01	1.954e-01
MAD2L2	7.241e-02	3.769e-01
MAF	-1.287e-02	8.753e-01
MAFB	-1.937e-01	1.716e-02
MAGI2	1.474e-01	7.095e-02
MALT1	-7.684e-02	3.484e-01
MAP2K1	-1.863e-01	2.202e-02
MAP2K2	-9.586e-02	2.417e-01
MAP2K4	7.010e-02	3.924e-01
MAP3K1	-1.774e-01	2.932e-02
MAP3K7	-8.811e-02	2.820e-01
MAPK1	1.723e-02	8.337e-01
MAX	-2.699e-01	8.045e-04
MC1R	-3.166e-02	6.996e-01
MCL1	1.449e-01	7.587e-02
MDC1	-8.477e-02	3.007e-01
MDM2	-1.093e-01	1.817e-01
MDM4	1.303e-01	1.109e-01
MECOM	5.937e-02	4.690e-01
MED1	1.785e-01	2.830e-02
MED12	-2.083e-01	1.028e-02
MEF2B	-8.356e-02	3.077e-01
MEN1	1.485e-02	8.564e-01
MET	-1.194e-01	1.441e-01
MGA	-2.665e-02	7.453e-01
MGMT	1.243e-01	1.285e-01
MIB1	3.029e-02	7.120e-01
MITF	-7.755e-02	3.439e-01
MKI67	-5.966e-02	4.668e-01
MLH1	-3.570e-02	6.634e-01
MLH3	6.034e-02	4.617e-01
MLLT3	-9.725e-02	2.349e-01
MPL	-1.340e-01	1.009e-01
MRE11	-2.561e-01	1.505e-03
MS4A1	-1.056e-01	1.971e-01
MSH2	-1.740e-01	3.261e-02
MSH3	-2.901e-02	7.236e-01
MSH6	-1.058e-01	1.962e-01
MST1	3.987e-02	6.269e-01
MST1R	1.607e-01	4.877e-02
MTA1	9.234e-02	2.595e-01
MTAP	2.038e-03	9.802e-01
MTHFR	2.982e-02	7.162e-01
MTOR	-1.388e-01	8.926e-02
MTRR	2.097e-01	9.764e-03
MUTYH	-2.901e-02	7.237e-01
MYB	1.485e-01	6.888e-02
MYC	5.027e-03	9.511e-01
MYCL	7.801e-02	3.411e-01
MYCN	5.773e-02	4.814e-01
MYD88	-2.539e-01	1.660e-03
MYH11	-6.964e-02	3.955e-01
MYOD1	2.264e-01	5.184e-03
NBN	-4.190e-02	6.095e-01
NCOA3	2.420e-01	2.758e-03
NCOR1	5.947e-02	4.683e-01
NCOR2	6.847e-02	4.035e-01
NEGR1	1.218e-01	1.362e-01
NF1	2.884e-02	7.252e-01
NF2	9.099e-02	2.665e-01
NFE2L2	-4.482e-03	9.564e-01
NFKBIA	2.435e-01	2.591e-03
NHP2	-1.371e-01	9.311e-02
NKX2-1	2.571e-01	1.439e-03
NKX3-1	6.601e-02	4.207e-01
NOTCH1	-1.347e-01	9.909e-02
NOTCH2	-1.343e-01	1.001e-01
NOTCH3	-1.674e-02	8.384e-01
NOTCH4	-1.567e-01	5.463e-02
NPM1	2.833e-01	4.245e-04
NQO1	-5.369e-02	5.126e-01
NRAS	-2.031e-01	1.239e-02
NRG1	6.257e-02	4.453e-01
NRIP1	-1.376e-01	9.213e-02
NSD1	-1.519e-01	6.266e-02
NSD2	1.422e-01	8.158e-02
NT5C2	-5.867e-02	4.742e-01
NTHL1	7.575e-02	3.553e-01
NTRK1	-1.567e-01	5.468e-02
NTRK2	9.340e-03	9.094e-01
NTRK3	7.877e-02	3.363e-01
NUDT15	-9.427e-03	9.085e-01
NUP93	-2.164e-02	7.920e-01
NUP98	1.429e-01	8.015e-02
P2RY8	-1.986e-01	1.449e-02
PA2G4	-1.742e-02	8.319e-01
PAK1	2.201e-01	6.605e-03
PAK3	-6.056e-02	4.601e-01
PAK5	-7.359e-02	3.692e-01
PALB2	3.256e-02	6.915e-01
PALLD	1.324e-01	1.050e-01
PARK2	-6.708e-02	4.132e-01
PARP1	3.854e-02	6.384e-01
PAX5	7.734e-02	3.452e-01
PAX7	-8.681e-02	2.892e-01
PAX8	-1.378e-01	9.165e-02
PBRM1	-8.591e-02	2.942e-01
PCBP1	6.206e-02	4.491e-01
PDCD1	3.423e-02	6.765e-01
PDCD1LG2	2.244e-01	5.599e-03
PDGFRA	-3.728e-02	6.495e-01
PDGFRB	7.351e-02	3.697e-01
PDK1	2.436e-02	7.665e-01
PDPK1	5.377e-02	5.120e-01
PELP1	1.335e-01	1.023e-01
PGR	-1.933e-01	1.738e-02
PHB2	-1.063e-02	8.969e-01
PHF6	-8.613e-02	2.930e-01
PHOX2B	1.461e-02	8.586e-01
PIAS4	2.886e-02	7.251e-01
PIK3C2B	-6.633e-02	4.184e-01
PIK3C2G	3.775e-02	6.454e-01
PIK3C3	-4.651e-02	5.706e-01
PIK3CA	2.621e-02	7.494e-01
PIK3CB	1.209e-01	1.393e-01
PIK3CD	-2.179e-01	7.195e-03
PIK3CG	-1.739e-01	3.273e-02
PIK3R1	2.348e-01	3.708e-03
PIK3R2	-1.508e-01	6.464e-02
PIK3R3	1.157e-01	1.572e-01
PIM1	-5.043e-02	5.386e-01
PLCG2	7.525e-02	3.584e-01
PLK2	-9.560e-02	2.430e-01
PML	-8.223e-02	3.155e-01
PMS1	4.231e-02	6.060e-01
PMS2	-3.038e-01	1.494e-04
PNRC1	4.784e-02	5.597e-01
POLD1	1.196e-01	1.434e-01
POLE	-3.298e-02	6.877e-01
POLH	-1.946e-01	1.666e-02
POT1	1.998e-01	1.389e-02
POU2F2	4.897e-02	5.504e-01
PPP1CA	3.539e-01	8.286e-06
PPP1CB	6.053e-02	4.603e-01
PPP1CC	-1.301e-01	1.114e-01
PPP1R15A	4.332e-02	5.974e-01
PPP2CA	1.012e-01	2.165e-01
PPP2CB	-2.303e-01	4.439e-03
PPP2R1A	-9.872e-02	2.278e-01
PPP2R1B	-1.555e-01	5.652e-02
PPP2R2A	2.239e-01	5.726e-03
PPP6C	-1.317e-01	1.069e-01
PRAME	-9.741e-04	9.905e-01
PRCC	-1.169e-01	1.529e-01
PRDM1	-1.017e-01	2.139e-01
PREX2	-4.318e-03	9.580e-01
PRF1	-7.315e-02	3.721e-01
PRKAR1A	7.436e-02	3.642e-01
PRKCI	-1.121e-01	1.706e-01
PRKCZ	-6.866e-02	4.022e-01
PRKDC	4.103e-02	6.170e-01
PRPF40B	1.344e-01	9.980e-02
PRSS1	3.680e-01	3.350e-06
PRSS2	4.198e-01	8.059e-08
PRSS8	8.557e-02	2.962e-01
PTCH1	-1.973e-01	1.515e-02
PTCH2	-6.207e-02	4.490e-01
PTEN	-1.140e-01	1.634e-01
PTK2	-1.019e-01	2.131e-01
PTPN11	4.804e-02	5.580e-01
PTPN13	1.606e-01	4.891e-02
PTPN22	2.029e-01	1.247e-02
PTPRD	-2.851e-02	7.283e-01
QKI	-1.337e-01	1.017e-01
RAB35	-1.791e-01	2.781e-02
RAC1	-2.295e-01	4.596e-03
RAD21	1.078e-01	1.876e-01
RAD50	-2.360e-01	3.535e-03
RAD51	-6.963e-02	3.956e-01
RAD51B	-2.087e-01	1.012e-02
RAD51C	4.954e-02	5.458e-01
RAD51D	-6.778e-02	4.083e-01
RAD52	9.204e-02	2.610e-01
RAD54L	-2.394e-02	7.704e-01
RAF1	-1.571e-03	9.847e-01
RANBP2	6.358e-02	4.380e-01
RARA	3.960e-02	6.292e-01
RASA1	-2.917e-02	7.222e-01
RB1	-3.782e-02	6.448e-01
RBL1	-2.348e-01	3.708e-03
RBL2	-1.884e-02	8.184e-01
RBM10	1.419e-01	8.229e-02
RECQL4	1.468e-01	7.210e-02
REL	1.874e-01	2.119e-02
RET	1.043e-02	8.989e-01
RHOA	-7.298e-02	3.732e-01
RHPN2	8.737e-03	9.152e-01
RICTOR	-2.404e-01	2.942e-03
RINT1	-1.240e-01	1.293e-01
RIT1	1.636e-01	4.467e-02
RNF139	-1.089e-01	1.830e-01
RNF43	1.601e-01	4.951e-02
ROS1	-9.020e-02	2.707e-01
RPL5	2.142e-01	8.274e-03
RPS15	1.809e-01	2.626e-02
RPS6KA4	-1.348e-02	8.695e-01
RPS6KB1	8.116e-02	3.219e-01
RPS6KB2	3.508e-01	1.004e-05
RPTOR	-1.095e-01	1.809e-01
RSF1	-1.510e-02	8.540e-01
RUNX1	1.710e-02	8.349e-01
RUNX1T1	-3.188e-02	6.976e-01
RXRA	-8.192e-02	3.173e-01
SCG5	4.959e-03	9.518e-01
SDHA	-2.277e-01	4.929e-03
SDHAF2	-9.156e-02	2.635e-01
SDHB	1.411e-01	8.397e-02
SDHC	-1.703e-01	3.651e-02
SDHD	7.738e-02	3.450e-01
SEC23B	-4.438e-02	5.885e-01
SEMA3C	2.726e-01	7.101e-04
SETBP1	9.472e-02	2.473e-01
SETD2	-2.673e-02	7.446e-01
SF1	1.815e-01	2.569e-02
SF3B1	4.968e-02	5.447e-01
SGK1	5.948e-02	4.682e-01
SH2B3	-1.384e-01	9.008e-02
SH2D1A	5.345e-02	5.145e-01
SHQ1	-3.464e-02	6.729e-01
SKP1	-4.716e-02	5.653e-01
SLC26A3	-3.088e-01	1.144e-04
SLC47A2	-8.216e-02	3.159e-01
SLIT2	-5.155e-02	5.296e-01
SLX4	-2.584e-02	7.528e-01
SMAD2	-1.554e-02	8.498e-01
SMAD3	2.527e-02	7.581e-01
SMAD4	-1.524e-01	6.182e-02
SMARCA1	-9.285e-02	2.568e-01
SMARCA4	-5.607e-02	4.941e-01
SMARCB1	1.365e-02	8.678e-01
SMARCE1	-8.323e-02	3.096e-01
SMC1A	-2.718e-01	7.360e-04
SMC3	-9.104e-02	2.662e-01
SMO	-2.300e-01	4.494e-03
SNCAIP	-9.369e-02	2.525e-01
SOCS1	-1.684e-01	3.869e-02
SOD2	-2.810e-01	4.730e-04
SOX10	6.206e-02	4.491e-01
SOX17	-3.994e-02	6.263e-01
SOX2	2.222e-01	6.108e-03
SOX9	-1.451e-01	7.554e-02
SPEN	3.026e-02	7.123e-01
SPINK1	-1.644e-01	4.368e-02
SPOP	-4.360e-02	5.950e-01
SPRED1	-8.326e-02	3.095e-01
SPTA1	-7.659e-02	3.499e-01
SQSTM1	5.325e-02	5.161e-01
SRC	1.232e-01	1.319e-01
SRSF2	2.482e-02	7.623e-01
STAG1	2.118e-02	7.963e-01
STAG2	-7.258e-02	3.758e-01
STAT3	-2.114e-01	9.157e-03
STAT4	-5.960e-02	4.673e-01
STAT5A	6.422e-02	4.334e-01
STAT5B	1.914e-02	8.155e-01
STAT6	3.709e-02	6.511e-01
STK11	7.316e-02	3.720e-01
SUFU	-2.434e-02	7.668e-01
SUZ12	-4.265e-02	6.031e-01
SYK	1.767e-01	2.993e-02
TAF1	-2.366e-01	3.448e-03
TANC1	-1.154e-01	1.584e-01
TAP1	1.352e-01	9.799e-02
TAP2	5.761e-02	4.823e-01
TBC1D12	-5.666e-02	4.895e-01
TBL1XR1	-3.060e-01	1.327e-04
TBX3	1.285e-01	1.159e-01
TCF3	1.870e-01	2.149e-02
TCF7L2	-6.687e-02	4.146e-01
TCL1A	1.676e-01	3.973e-02
TERT	-1.933e-01	1.738e-02
TET1	2.802e-02	7.327e-01
TET2	9.734e-02	2.345e-01
TFDP1	1.907e-01	1.903e-02
TFF1	5.181e-02	5.275e-01
TGFBR1	-3.265e-02	6.907e-01
TGFBR2	5.859e-02	4.749e-01
TIGIT	-1.113e-01	1.737e-01
TLR4	4.963e-02	5.451e-01
TMEM127	2.529e-01	1.734e-03
TMEM173	-1.470e-01	7.171e-02
TMPRSS2	9.884e-02	2.273e-01
TNF	6.039e-02	4.614e-01
TNFAIP3	-2.620e-01	1.154e-03
TNFRSF14	-5.521e-03	9.464e-01
TNFRSF17	1.696e-01	3.736e-02
TNFRSF9	1.732e-01	3.343e-02
TOP1	-2.227e-01	5.997e-03
TOP2A	1.144e-01	1.620e-01
TP53	-1.928e-01	1.767e-02
TP63	-2.105e-01	9.487e-03
TPM1	5.335e-02	5.153e-01
TPMT	1.079e-01	1.874e-01
TPRX1	-7.444e-02	3.637e-01
TRAF2	1.079e-01	1.873e-01
TRAF3	1.324e-01	1.052e-01
TRAF7	1.341e-01	1.006e-01
TSC1	-9.910e-02	2.260e-01
TSC2	-7.695e-03	9.253e-01
TSHR	1.595e-02	8.459e-01
TUSC3	-1.503e-01	6.542e-02
TYMS	1.485e-01	6.871e-02
U2AF1	9.567e-02	2.426e-01
UBE2T	-9.083e-02	2.674e-01
UMPS	-4.993e-03	9.515e-01
UPF1	1.863e-01	2.197e-02
VEGFA	-6.814e-02	4.058e-01
VHL	-2.055e-01	1.136e-02
